[ Northfield Women's Shelter - Atlantic County Women's Center ",Northfield, NJ 08225 4.83 miles from city center Absecon']
[ Atlantic City Rescue Mission', Atlantic City, NJ 084015.65 miles from city center Absecon']
[ Covenant House Atlantic City New Jersey', Atlantic City, NJ 084016.27 miles from city center Absecon']
[ The Women's Center Linwood", Linwood, NJ 082217.01 miles from city center Absecon']
[ Family Promise of Southern Ocean County', West Creek, NJ 0809220.63 miles from city center Absecon']
[ Epiphany House Transitional Substance Abuse Women's Recovery", Asbury Park, NJ 07712 (732) 775 - 0720Epiphany House is committed to promoting sobriety and self-sufficiency in homeless recovering chemically dependent women with children.']
[ Family Promise of Monmouth County Food and Shelter Services', Middletown, NJ 0773412.76 miles from city center Asbury Park']
[ 180 Turning Lives Around', Hazlet, NJ 0773016.07 miles from city center Asbury Park']
[ Ocean's Harbor House Youth Shelter", Toms River, NJ 0875319.32 miles from city center Asbury Park']
[ Jeremiah's Refuge Emergency Shelter", Perth Amboy, NJ 0886124.16 miles from city center Asbury Park']
[ State Street Transitional Housing, Perth Amboy', Perth Amboy, NJ 0886125.04 miles from city center Asbury Park']
[ Grace Initiatives/Grace's Place - Maternity Housing", Lanoka Harbor, NJ 0873426.85 miles from city center Asbury Park']
[ Trinity Soup Kitchen (Woodbridge) Trinity Episcopal Church', Woodbridge, NJ 0709527.30 miles from city center Asbury Park']
[ Vetwork - A Program of Vetgroup Inc.', Forked River, NJ 0873127.85 miles from city center Asbury Park']
[ The Women's Center Linwood", Linwood, NJ 082217.65 miles from city center Atlantic City']
[ Family Promise of Southern Ocean County', West Creek, NJ 0809222.95 miles from city center Atlantic City']
[ Trinity Soup Kitchen (Woodbridge) Trinity Episcopal Church', Woodbridge, NJ 070951.37 miles from city center Avenel']
[ State Street Transitional Housing, Perth Amboy', Perth Amboy, NJ 088613.78 miles from city center Avenel']
[ Jeremiah's Refuge Emergency Shelter", Perth Amboy, NJ 088614.84 miles from city center Avenel']
[ YMCA of Eastern Union County Shelter', Elizabeth, NJ 072016.79 miles from city center Avenel']
[ Elizabeth Coalition to House the Homeless ', Elizabeth, NJ 072016.86 miles from city center Avenel']
[ Salvation Army Emergency Shelter - Elizabeth Shelter', Elizabeth, NJ 072016.92 miles from city center Avenel']
[ Salvation Army Emergency Assistance', Union, NJ 070838.21 miles from city center Avenel']
[ Ozanam Family Shelter', Edison, NJ 088178.63 miles from city center Avenel']
